Workstation,Operations,Combined_Basic_Time,M/P,Balancing_SAM,Status
1,"Chest pocket Hem, Waist Pocket Hem (L+R)",32.1,1,32.1,OK
2,"V Panel O/L (L+R), Moon O/L",32.9,1,32.9,OK
3,V Panel Hem (L+R),23.9,1,23.9,OK
4,Moon Label Att.,21.1,1,21.1,OK
5,"Chest Pocket Press, Waist Pocket press (L+R)",50.7,2,25.35,OK
6,Chest pocket Label Att.,11.6,1,11.6,OK
7,V Panel Att. With Body (L+R),24.3,1,24.3,OK
8,V Panel Joint Top Stitching,24.0,1,24.0,OK
9,"Chest Pocket Att., Waist Pocket Att. (L+R)",88.8,4,22.2,OK
10,Sholder Att. + Moon (L+R),31.0,1,31.0,OK
11,"Moon Att. With Back, Moon Top Stitching",36.8,2,18.4,OK
12,Sleeve Att. (L+R),53.1,2,26.55,OK
13,Vent O/L,38.3,2,19.15,OK
14,Side Att. (L+R),47.7,2,23.85,OK
15,Vent B/T (L+R),23.1,1,23.1,OK
16,Vent Make (L+R),35.9,2,17.95,OK
17,Piece Upside Down,12.9,1,12.9,OK
18,"Sleeve Hem (L+R), Bottom Hem",82.4,3,27.47,OK
