Serial No. / Id,Operations,Predecessor,Machine Type,Basic Time 
1,Chest pocket Hem,-,S/N L/S,10.1
2,Waist Pocket Hem (L+R),-,S/N L/S,22.0
3,V Panel O/L (L+R),-,3/T O/L,17.5
4,Moon O/L,-,3/T O/L,15.4
5,V Panel Hem (L+R),3,S/N L/S,23.9
6,Moon Label Att.,4,S/N L/S,21.1
7,Chest Pocket Press,1,Iron Press,16.6
8,Waist Pocket press (L+R),2,Iron Press,34.1
9,Chest pocket Label Att.,7,S/N L/S,11.6
10,V Panel Att. With Body (L+R),5,5/T O/L,24.3
11,V Panel Joint Top Stitching,10,S/N L/S,24.0
12,Chest Pocket Att.,"9,11",S/N L/S,29.6
13,Waist Pocket Att. (L+R),"8,12",S/N L/S,59.2
14,Sholder Att. + Moon (L+R),"6,13",5/T O/L,31.0
15,Moon Att. With Back,14,S/N L/S,18.4
16,Moon Top Stitching,15,S/N L/S,18.4
17,Sleeve Att. (L+R),16,5/T O/L,53.1
18,Vent O/L,17,3/T O/L,38.3
19,Side Att. (L+R),18,5/T O/L,47.7
20,Vent B/T (L+R),19,S/N L/S,23.1
21,Vent Make (L+R),20,S/N L/S,35.9
22,Piece Upside Down,21,By Hand,12.9
23,Sleeve Hem (L+R),22,S/N L/S,45.0
24,Bottom Hem ,23,S/N L/S,37.4
